Coronel Fabriciano;26456509,68
Coronel Murta;4042486,95
Coronel Pacheco;2392152,64
Coronel Xavier Chaves;2602574,85
Couto de Magalhães de Minas;2809051,35
Cristais;5806741,25
Cristiano Otoni;2788050,00
Cristina;5276815,33
Cristália;3239074,47
Crisólita;3042437,55
Crucilândia;3857684,25
Cruzeiro da Fortaleza;3122908,02
Cruzília;6724323,23
Cuparaque;3655927,03
Curral de Dentro;4100959,48
Curvelo;46046954,67
Cássia;11774081,13
Córrego Danta;2649196,10
Córrego Fundo;4466741,94
Córrego Novo;2364180,00
Córrego do Bom Jesus;2168495,62
Cônego Marinho;3122991,13
Datas;3105780,26
Delfim Moreira;3532193,79
Delfinópolis;7212621,15
Delta;6680980,58
Descoberto;2882241,77
Desterro de Entre Rios;4315786,35
Desterro do Melo;2462630,75
Diamantina;24430707,57
Diogo de Vasconcelos;3136125,64
Dionísio;4313344,17
Divino;10696227,99
Divino das Laranjeiras;3349170,55
Divinolândia de Minas;3163580,81
Divinésia;2944992,57
Divinópolis;164141595,36
Divisa Alegre;3597016,92
Divisa Nova;4424459,09
Divisópolis;4117549,59
Dom Bosco;2567698,64
Dom Cavati;2753854,70
Dom Joaquim;3652868,80
Dom Silvério;2702355,45
Dom Viçoso;2591322,46
Dona Euzébia;3312596,80
Dores de Campos;4165031,91
Dores de Guanhães;4408963,33
Dores do Indaiá;6074572,93
Dores do Turvo;2924793,50
Doresópolis;2267189,56
Douradoquara;2667327,69
Durandé;3960541,28
Elói Mendes;14171561,51
Engenheiro Caldas;5165649,11
Engenheiro Navarro;3351124,93
Entre Folhas;3834694,25
Entre Rios de Minas;5669726,02
Ervália;6675128,54
Esmeraldas;23941759,08
Espera Feliz;10584715,37
Espinosa;11695489,93
Espírito Santo do Dourado;3012171,34
Estiva;4540375,86
Estrela Dalva;2504509,17
Estrela do Indaiá;3248633,51
Estrela do Sul;4713692,68
Eugenópolis;5239736,01
Ewbank da Câmara;2925119,65
Extrema;23239162,78
Fama;2311465,35
Faria Lemos;2125013,17
Felisburgo;3977088,18
Felixlândia;6073276,09
Felício dos Santos;3590482,84
Fernandes Tourinho;2541948,43
Ferros;5448390,32
Fervedouro;6475770,32
Florestal;4539797,35
Formiga;30199635,64
Formoso;3833276,04
Fortaleza de Minas;4230081,84
Fortuna de Minas;3112961,74
Francisco Badaró;5190797,09
Francisco Dumont;3459213,80
Francisco Sá;13723186,43
Franciscópolis;4061040,21
Frei Gaspar;2541358,21
Frei Inocêncio;4878249,47
Frei Lagonegro;2769177,50
Fronteira;11457645,90
Fronteira dos Vales;2223909,57
Fruta de Leite;3250848,76
Frutal;39479111,70
Funilândia;3464912,07
Galiléia;2992144,34
Gameleiras;3676512,33
Glaucilândia;2485027,01
Goiabeira;3693628,68
Goianá;2982242,18
Gonzaga;4126226,89
Gonçalves;3195366,82
Gouveia;5170064,49
Governador Valadares;179375129,57
Grupiara;2749181,55
Grão Mogol;10396786,44
Guanhães;16180541,32
Guapé;11455986,43
Guaraciaba;5362793,78
Guaraciama;2969267,46
Guarani;4112138,96
Guaranésia;9426264,78
Guarará;3420680,53
Guarda-Mor;6565859,97
Guaxupé;24954854,11
Guidoval;3584286,77
Guimarânia;4193435,92
Guiricema;4172587,81
Gurinhatã;4577525,38
Heliodora;3802742,00
Iapu;5082622,58
Ibertioga;3875617,31
Ibiaí;3584090,70
Ibiracatu;3652419,87
Ibiraci;10187729,52
Ibirité;91383526,61
Ibitiúra de Minas;3301453,36
Ibituruna;2549715,05
Ibiá;12945375,05
Icaraí de Minas;4378756,47
Igarapé;19632516,70
Igaratinga;5209713,40
Iguatama;7643524,98
Ijaci;7080969,21
Ilicínea;6917440,01
Imbé de Minas;3667302,11
Inconfidentes;3405830,27
Indaiabira;4668308,10
Indianópolis;4291532,14
Ingaí;3285879,81
Inhapim;13029475,95
Inhaúma;4433976,82
Inimutaba;3830042,34
Ipaba;7430040,86
Ipanema;7943851,28
Ipatinga;234393844,47
Ipiaçu;3486690,84
Ipuiúna;4404700,15
Iraí de Minas;3889896,46
Itabira;133320232,61
Itabirinha;5044392,53
Itabirito;53480443,66
Itacambira;3173879,74
Itacarambi;11919108,31
Itaguara;7065597,75
Itaipé;4357963,27
Itajubá;35992036,25
Itamarandiba;13807612,94
Itamarati de Minas;3353654,30
Itambacuri;14781015,50
Itambé do Mato Dentro;2869063,76
Itamogi;7112914,55
Itamonte;6595373,44
Itanhandu;8818985,46
Itanhomi;5353474,48
Itaobim;9625453,18
Itapagipe;9336263,09
Itapecerica;8148193,84
Itapeva;5634817,11
Itatiaiuçu;17215100,12
Itaverava;3452550,54
Itaú de Minas;14610673,74
Itaúna;53564287,94
Itinga;5869189,16
Itueta;2982224,60
Ituiutaba;54778017,02
Itumirim;3161414,79
Iturama;25757448,51
Itutinga;3677322,30
Jaboticatubas;9460204,55
Jacinto;7792598,02
Jacutinga;16597874,91
Jacuí;4537108,93
Jaguaraçu;2481202,14
Jampruca;2762240,40
Janaúba;58410031,34
Januária;25717172,24
Japaraíba;2639357,66
Japonvar;4189411,75
Jaíba;17747989,33
Jeceaba;8801531,10
Jenipapo de Minas;3331012,61
Jequeri;6302559,86
Jequitaí;4311090,45
Jequitibá;3724435,80
Jequitinhonha;13593007,70
Jesuânia;2959633,99
Joanésia;3052012,13
Joaquim Felício;3125888,53
Joaíma;9215677,36
Jordânia;4236182,16
Josenópolis;3203512,95
José Gonçalves de Minas;3501925,34
José Raydan;2957497,37
João Monlevade;59254218,47
João Pinheiro;27555828,12
Juatuba;17651370,04
Juiz de Fora;445864977,69
Juramento;3052626,47
Juruaia;5940658,70
Juvenília;3877767,61
Ladainha;9099887,04
Lagamar;3858894,98
Lagoa Dourada;5037719,84
Lagoa Formosa;8749776,26
Lagoa Grande;5150399,76
Lagoa Santa;39218698,38
Lagoa da Prata;22245882,74
Lagoa dos Patos;2778844,14
Lajinha;9783983,82
Lambari;8750204,27
Lamim;3249755,73
Laranjal;3518413,09
Lassance;4449892,06
Lavras;77359191,60
Leandro Ferreira;2796420,05
Leme do Prado;3035015,86
Leopoldina;21914443,45
Liberdade;2718515,11
Lima Duarte;8273659,46
Limeira do Oeste;6826345,81
Lontra;4433981,79
Luisburgo;3262554,78
Luislândia;2992479,99
Luminárias;2926668,83
Luz;9382295,93
Machacalis;3872823,08
Machado;20406207,91
Madre de Deus de Minas;3643151,68
Malacacheta;12807340,02
Mamonas;3145252,67
Manga;8698521,63
Manhuaçu;58803262,69
Manhumirim;9514844,59
Mantena;12373124,73
