Coronel Fabriciano;43561385,02
Coronel Murta;4869593,58
Coronel Pacheco;2358171,15
Coronel Xavier Chaves;2085923,72
Couto de Magalhães de Minas;3099510,97
Cristais;6381193,49
Cristiano Otoni;3808760,86
Cristina;5546792,19
Cristália;4782315,92
Crisólita;4653215,63
Crucilândia;2437403,73
Cruzeiro da Fortaleza;4501912,26
Cruzília;6849040,80
Cuparaque;2946316,48
Curral de Dentro;4057780,22
Curvelo;30336849,30
Cássia;8368913,90
Córrego Danta;2618036,91
Córrego Fundo;3961085,49
Córrego Novo;2229723,39
Córrego do Bom Jesus;1820226,19
Cônego Marinho;4564177,41
Datas;3626545,95
Delfim Moreira;4628132,39
Delfinópolis;5738736,76
Delta;6853563,96
Descoberto;2461840,27
Desterro de Entre Rios;2540865,91
Desterro do Melo;2914071,00
Diamantina;16875361,44
Diogo de Vasconcelos;3522393,27
Dionísio;2503789,83
Divino;8578529,24
Divino das Laranjeiras;2560734,25
Divinolândia de Minas;4627097,89
Divinésia;2553009,38
Divinópolis;88234031,65
Divisa Alegre;5246201,99
Divisa Nova;3484395,62
Divisópolis;5924149,96
Dom Bosco;2303437,84
Dom Cavati;2624776,11
Dom Joaquim;2951585,82
Dom Silvério;2786502,62
Dom Viçoso;1875171,71
Dona Euzébia;2886780,24
Dores de Campos;4204939,82
Dores de Guanhães;3485097,06
Dores do Indaiá;7134803,70
Dores do Turvo;2336455,84
Doresópolis;2272427,73
Douradoquara;1591683,68
Durandé;3396938,07
Elói Mendes;12467416,08
Engenheiro Caldas;6968355,43
Engenheiro Navarro;3294121,21
Entre Folhas;2758861,60
Entre Rios de Minas;5732265,88
Ervália;7914323,06
Esmeraldas;35686452,01
Espera Feliz;10457160,41
Espinosa;11847025,89
Espírito Santo do Dourado;3127314,12
Estiva;5199959,57
Estrela Dalva;1739514,22
Estrela do Indaiá;1761696,67
Estrela do Sul;4100297,25
Eugenópolis;5580136,46
Ewbank da Câmara;2638738,02
Extrema;26865090,70
Fama;1714843,40
Faria Lemos;2403924,57
Felisburgo;3662671,96
Felixlândia;8844531,90
Felício dos Santos;3547647,41
Fernandes Tourinho;2467891,41
Ferros;4595445,64
Fervedouro;5254738,26
Florestal;4073471,02
Formiga;31296864,57
Formoso;4842349,24
Fortaleza de Minas;2774236,88
Fortuna de Minas;3174902,44
Francisco Badaró;4116164,92
Francisco Dumont;3752991,91
Francisco Sá;9164727,33
Franciscópolis;3517065,79
Frei Gaspar;4443263,63
Frei Inocêncio;4480827,75
Frei Lagonegro;2543192,33
Fronteira;10076260,35
Fronteira dos Vales;3070163,62
Fruta de Leite;3271368,61
Frutal;29890067,46
Funilândia;3655177,68
Galiléia;3944032,43
Gameleiras;3716545,70
Glaucilândia;2648213,54
Goiabeira;2353998,09
Goianá;2312457,53
Gonzaga;3502601,21
Gonçalves;2576943,45
Gouveia;4474760,58
Governador Valadares;115576689,38
Grupiara;1721718,12
Grão Mogol;10572146,87
Guanhães;14117806,04
Guapé;8099055,31
Guaraciaba;4184721,19
Guaraciama;3027887,96
Guarani;4394714,16
Guaranésia;7473017,56
Guarará;3281668,05
Guarda-Mor;5802416,62
Guaxupé;26724251,75
Guidoval;2920101,94
Guimarânia;3639075,06
Guiricema;2650547,76
Gurinhatã;4373464,00
Heliodora;3110775,39
Iapu;5115364,90
Ibertioga;2609696,09
Ibiaí;3832829,67
Ibiracatu;5025893,07
Ibiraci;6639431,35
Ibirité;73296965,84
Ibitiúra de Minas;2743758,77
Ibituruna;2371119,36
Ibiá;13527885,74
Icaraí de Minas;4610156,56
Igarapé;21270978,38
Igaratinga;4751644,62
Iguatama;4756071,37
Ijaci;5655057,62
Ilicínea;5701939,11
Imbé de Minas;3159378,56
Inconfidentes;4176732,01
Indaiabira;6173794,71
Indianópolis;7515753,10
Ingaí;2056461,40
Inhapim;7868832,84
Inhaúma;3667976,85
Inimutaba;4481523,62
Ipaba;5883245,42
Ipanema;6436516,63
Ipatinga;124129428,78
Ipiaçu;3189343,45
Ipuiúna;4482842,27
Iraí de Minas;4522345,57
Itabira;87475845,78
Itabirinha;4875466,46
Itabirito;55352109,39
Itacambira;3732594,12
Itacarambi;14014926,67
Itaguara;5508053,10
